SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded-FTLT,Funded-FTST,Funded-PTLT,Funded-PTST,Funded Position,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType Total,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",64,1,3,0,68,17,0,0,0,17,9,0,0,0,9,9,0,1,1,11,0,0,0,0,0,0,0,5,6,0,116,0,0,0,0,0,6,0,0,0,6,20,0,1,0,21,2,0,0,0,2,4,0,0,0,4,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,1,1,1,34,19,0,1,0,20,2,0,0,0,2,1,0,0,0,1,5,0,1,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,99,1,4,1,105,Ohio,82,New York,5,Pennsylvania,4,2
"ALABAMA, UNIVERSITY OF",128,3,0,0,131,16,0,0,0,16,2,0,0,0,2,1,0,0,1,2,0,0,0,0,1,5,0,2,3,2,164,0,0,0,0,0,11,0,0,0,11,32,1,0,0,33,12,0,0,0,12,2,0,0,0,2,1,0,0,0,1,7,0,0,0,7,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,22,0,0,1,24,16,0,0,0,16,11,1,0,0,12,14,0,0,0,14,7,0,0,0,7,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,147,3,0,1,152,Alabama,96,Georgia,13,Florida,8,1
ALBANY LAW SCHOOL,118,12,6,6,142,14,7,1,4,26,7,1,3,5,16,0,0,1,5,6,0,0,0,0,0,4,0,12,26,4,236,0,2,0,0,2,3,0,0,0,3,51,6,5,6,68,12,1,1,0,14,8,0,0,1,9,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,27,5,3,11,46,12,5,0,0,17,9,0,0,1,10,1,0,0,0,1,8,0,0,0,8,0,0,0,0,0,2,3,1,0,6,0,0,1,0,1,139,20,11,20,190,New York,163,New Jersey,6,Massachusetts,3,1
AMERICAN UNIVERSITY,167,26,3,8,204,56,23,6,30,115,21,0,3,3,27,3,0,3,3,9,0,0,0,0,0,26,0,21,61,4,467,2,2,2,21,27,0,0,0,0,0,20,3,1,7,31,8,1,0,1,10,4,0,0,1,5,6,0,0,0,6,8,0,0,1,9,7,1,0,0,8,23,3,0,0,26,6,3,2,0,11,36,24,8,5,73,60,3,1,4,68,28,9,3,18,58,8,0,0,0,8,26,2,0,1,29,0,0,0,0,0,7,0,0,6,13,0,0,0,0,0,247,49,15,44,355,District Of Columbia,168,Maryland,42,Virginia,36,11
APPALACHIAN SCHOOL OF LAW,28,2,3,1,34,7,1,1,0,9,3,3,1,0,7,2,0,0,0,2,0,0,0,0,0,0,2,0,16,21,91,0,0,0,0,0,2,1,1,0,4,21,1,4,0,26,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,12,4,0,0,0,4,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,40,6,5,1,52,Virginia,12,Tennessee,10,Kentucky,7,0
ARIZONA STATE UNIVERSITY,137,18,2,3,160,8,9,0,1,18,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,2,7,3,201,0,18,0,0,18,10,0,0,0,10,39,8,2,4,53,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,3,0,0,0,3,2,0,0,0,2,5,0,0,0,5,2,0,0,0,2,27,2,0,0,29,28,12,0,0,40,9,3,0,0,12,3,0,0,0,3,14,0,0,0,14,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,153,27,2,4,186,Arizona,155,California,10,Utah,4,1
"ARIZONA, UNIVERSITY OF",119,0,3,0,122,6,0,0,1,7,2,1,0,1,4,1,0,0,0,1,0,0,0,0,0,5,0,3,12,4,158,0,0,0,0,0,3,0,0,0,3,30,0,1,0,31,12,0,0,0,12,5,0,0,0,5,1,0,0,0,1,4,0,0,0,4,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,11,1,0,0,12,17,0,0,1,18,12,0,2,0,14,2,0,0,0,2,21,0,0,0,21,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,128,1,3,2,134,Arizona,94,California,9,District Of Columbia,4,1
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",71,1,1,0,73,18,0,0,1,19,2,0,0,0,2,4,0,1,0,5,0,0,0,0,0,7,0,0,8,2,116,0,0,0,1,1,3,0,0,0,3,34,0,1,0,35,10,0,0,0,10,1,0,0,0,1,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,1,0,21,9,1,0,0,10,5,0,0,0,5,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,95,1,2,1,99,Arkansas,64,Texas,8,Oklahoma,6,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",95,0,2,1,98,16,1,0,0,17,9,0,0,0,9,1,1,1,0,3,0,0,0,0,1,3,2,4,13,0,150,0,0,0,0,0,5,0,0,0,5,47,0,2,0,49,12,0,0,0,12,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,1,1,34,9,0,0,0,9,5,1,0,0,6,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,121,2,3,1,128,Arkansas,102,Georgia,5,District Of Columbia,2,1
ATLANTA'S JOHN MARSHALL LAW SHOOL,54,4,11,3,72,16,3,2,6,27,7,0,1,1,9,0,0,1,1,2,0,0,0,0,1,2,0,9,10,0,132,0,0,0,3,3,16,0,0,5,21,23,0,9,0,32,2,0,0,1,3,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,4,2,31,9,1,1,2,13,3,0,0,1,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,77,7,15,11,111,Georgia,97,District Of Columbia,2,Florida,2,0
