SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_EmployedBarPassageRequiredFTLT,Funded_EmployedBarPassageRequiredFTST,Funded_EmployedBarPassageRequiredPTLT,Funded_EmployedBarPassageRequiredPTST,Funded_EmployedBarPassageRequiredTotalEmployed,Funded_EmployedJDAdvantageFTLT,Funded_EmployedJDAdvantageFTST,Funded_EmployedJDAdvantagePTLT,Funded_EmployedJDAdvantagePTST,Funded_EmployedJDAdvantageTotalEmployed,Funded_EmployedProfessionFTLT,Funded_EmployedProfessionFTST,Funded_EmployedProfessionPTLT,Funded_EmployedProfessionPTST,Funded_EmployedProfessionTotalEmployed,Funded_EmployedNonProfessionFTLT,Funded_EmployedNonProfessionFTST,Funded_EmployedNonProfessionPTLT,Funded_EmployedNonProfessionPTST,Funded_EmployedNonProfessionTotalEmployed,Funded_TotalFTLT,Funded_TotalFTST,Funded_TotalPTLT,Funded_TotalPTST,Funded_TotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Education-FTLT,Education-FTST,Education-PTLT,Education-PTST,Education,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AKRON, UNIVERSITY OF",65,1,6,2,74,31,2,3,1,37,8,1,3,0,12,2,0,0,0,2,1,0,0,0,1,3,0,3,7,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,22,0,3,0,25,9,0,1,0,10,2,1,0,0,3,2,0,0,0,2,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,0,0,1,0,1,36,0,1,0,37,16,1,2,0,19,0,1,1,2,4,0,0,0,0,0,3,0,0,0,3,0,0,1,0,1,2,1,1,1,5,2,0,1,0,3,107,4,12,3,126,Ohio,100,Texas,4,Missouri,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALABAMA, UNIVERSITY OF",133,1,2,0,136,15,0,0,0,15,3,0,0,0,3,3,0,1,0,4,0,0,0,0,0,7,0,2,1,4,172,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,0,1,0,12,34,0,0,0,34,12,0,0,0,12,3,0,0,0,3,4,0,0,0,4,6,0,0,0,6,7,0,0,0,7,1,0,0,0,1,1,0,0,0,1,19,0,1,0,20,20,1,0,0,21,9,0,1,0,10,16,0,0,0,16,5,0,0,0,5,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,154,1,3,0,158,Alabama,106,Georgia,9,Tennessee,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY LAW SCHOOL OF UNION UNIVERSITY,121,0,9,8,138,22,6,2,1,31,7,1,2,2,12,3,0,2,4,9,0,0,0,1,1,4,0,9,23,6,233,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,4,48,0,6,4,58,12,0,1,0,13,7,0,0,0,7,2,0,0,0,2,4,0,1,0,5,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,25,1,6,8,40,18,6,0,1,25,13,0,1,1,15,2,0,0,0,2,6,0,0,0,6,0,0,0,0,0,3,0,0,1,4,2,0,0,1,3,153,7,15,16,191,New York,154,Pennsylvania,7,California,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN JUSTICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,154,Pennsylvania,7,California,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN UNIVERSITY,180,2,5,9,196,68,22,11,19,120,12,4,2,7,25,2,1,3,3,9,0,0,0,3,3,17,0,17,71,5,463,2,0,0,3,5,8,1,1,6,16,0,0,0,0,0,0,0,0,0,0,10,1,1,9,21,0,0,2,2,4,27,3,7,2,39,5,0,0,1,6,6,0,0,1,7,2,0,0,0,2,5,0,0,0,5,12,0,1,0,13,30,3,0,0,33,2,0,0,0,2,37,10,8,18,73,58,4,0,2,64,38,4,1,6,49,11,0,0,0,11,24,0,0,0,24,0,0,0,0,0,5,5,2,6,18,0,0,0,3,3,262,29,21,41,353,District Of Columbia,170,Maryland,45,Virginia,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPALACHIAN SCHOOL OF LAW,35,1,2,2,40,14,2,2,0,18,0,2,0,0,2,1,1,0,1,3,0,0,0,0,0,3,3,0,17,5,91,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,3,20,1,3,0,24,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,1,2,13,11,0,0,0,11,1,0,0,0,1,0,0,0,0,0,4,1,0,0,5,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,50,6,4,3,63,Virginia,24,North Carolina,10,Kentucky,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZONA STATE UNIVERSITY,137,12,1,15,165,17,0,1,8,26,6,1,0,3,10,1,0,0,1,2,0,0,0,0,0,7,0,1,0,1,212,2,9,0,0,11,2,0,0,7,9,0,0,0,0,0,0,0,0,0,0,4,9,0,7,20,6,0,0,0,6,35,1,1,11,48,3,0,0,1,4,6,0,0,0,6,10,0,0,0,10,6,0,0,0,6,5,0,0,0,5,6,0,0,0,6,1,0,0,1,2,30,3,1,3,37,20,2,0,0,22,13,6,0,1,20,1,0,0,0,1,15,0,0,0,15,0,0,0,0,0,4,1,0,10,15,0,0,0,0,0,161,13,2,27,203,Arizona,155,California,12,Utah,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZONA SUMMIT LAW SCHOOL,79,7,7,5,98,30,5,4,12,51,8,0,1,4,13,0,0,1,0,1,0,0,0,0,0,7,0,1,9,1,181,0,6,0,2,8,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,10,0,6,16,6,0,1,0,7,43,4,6,8,61,9,0,2,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,21,1,3,3,28,19,1,1,1,22,10,5,0,4,19,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,2,6,0,0,0,0,0,117,12,13,21,163,Arizona,126,California,4,Utah,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARIZONA, UNIVERSITY OF",99,2,3,0,104,13,0,1,0,14,3,0,1,0,4,0,0,2,0,2,0,0,0,0,0,5,0,2,16,2,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23,0,2,0,25,6,0,0,0,6,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,2,0,0,0,2,13,0,0,0,13,1,1,1,0,3,13,0,4,0,17,12,0,0,0,12,13,0,0,0,13,4,0,0,0,4,19,1,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,115,2,7,0,124,Arizona,89,California,6,New York,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",93,0,0,0,93,20,0,0,0,20,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,6,0,1,5,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,43,0,0,0,43,9,0,0,0,9,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,10,0,0,0,10,6,0,0,0,6,5,0,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,119,0,0,0,119,Arkansas,81,Texas,9,Missouri,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
