SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",86,0,12,0,98,21,0,4,0,25,18,0,3,1,22,0,0,3,0,3,0,0,0,0,0,1,1,2,8,6,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,30,0,8,0,38,11,0,0,0,11,8,0,0,0,8,3,0,0,0,3,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,35,0,4,0,39,18,0,5,0,23,2,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,3,0,0,2,0,2,125,0,22,1,148,Ohio,122,New York,4,District of Columbia,2,2
"ALABAMA, UNIVERSITY OF",119,0,1,0,120,25,0,1,1,27,2,0,0,0,2,4,0,1,0,5,0,0,0,0,0,4,0,3,2,3,166,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,2,24,0,1,0,25,13,0,0,0,13,7,0,0,0,7,7,0,0,0,7,7,0,0,0,7,10,0,0,0,10,3,0,0,0,3,0,0,0,0,0,25,0,1,0,26,17,0,0,0,17,5,0,0,1,6,17,0,0,0,17,9,0,0,0,9,0,0,0,0,0,4,0,1,0,5,0,0,0,0,0,150,0,3,1,154,Alabama,88,Tennessee,10,Texas,9,0
ALBANY LAW SCHOOL OF UNION UNIVERSITY,119,3,7,1,130,15,7,2,0,24,0,1,1,0,2,1,0,5,0,6,0,0,0,0,0,4,1,10,13,6,196,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,34,0,6,1,41,13,0,0,0,13,8,0,0,0,8,3,0,0,0,3,5,0,0,0,5,2,0,0,0,2,4,0,0,0,4,0,0,1,0,1,20,3,8,0,31,29,6,0,0,35,6,1,0,0,7,2,0,0,0,2,5,0,0,0,5,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,135,11,15,1,162,New York,141,New Jersey,5,Florida,3,2
AMERICAN UNIVERSITY,231,11,1,6,249,76,9,6,8,99,16,3,0,2,21,0,1,1,1,3,0,0,0,0,0,19,10,19,77,10,507,37,5,0,0,42,17,0,1,0,18,0,0,0,0,0,0,0,0,0,0,54,5,1,0,60,5,0,1,1,7,39,2,3,4,48,6,0,0,0,6,8,0,0,1,9,4,2,0,0,6,9,1,0,0,10,10,0,0,1,11,28,3,1,0,32,0,0,0,0,0,46,7,2,7,62,57,3,0,0,60,57,6,0,1,64,15,0,0,0,15,31,0,0,0,31,0,0,0,0,0,8,0,1,1,10,0,0,0,1,1,323,24,8,17,372,District of Columbia,169,Virginia,49,Maryland,45,12
APPALACHIAN SCHOOL OF LAW,44,1,2,1,48,5,0,1,1,7,2,0,0,0,2,3,1,4,2,10,0,0,0,0,0,3,1,0,16,1,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7,0,0,0,7,20,0,1,0,21,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,3,3,13,9,0,2,1,12,0,0,0,0,0,1,0,0,0,1,7,0,0,0,7,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,54,2,7,4,67,Virginia,17,West Virginia,14,Kentucky,10,0
ARIZONA STATE UNIVERSITY,128,9,1,2,140,43,1,4,5,53,2,0,0,0,2,0,0,2,1,3,0,0,0,0,0,2,1,1,0,2,204,0,7,0,1,8,5,1,0,3,9,0,0,0,0,0,0,0,0,0,0,5,8,0,4,17,4,0,1,1,6,57,2,3,2,64,9,0,1,0,10,8,0,0,0,8,2,0,0,0,2,4,0,0,0,4,13,0,0,0,13,3,0,0,0,3,0,0,0,0,0,23,0,2,1,26,31,6,0,0,37,2,1,0,1,4,2,0,0,0,2,7,0,0,0,7,0,0,0,0,0,7,1,0,3,11,1,0,0,0,1,173,10,7,8,198,Arizona,172,California,5,Texas,4,0
ARIZONA SUMMIT LAW SCHOOL,126,22,10,3,161,32,13,6,1,52,23,0,7,0,30,2,1,2,1,6,0,0,0,1,1,6,0,9,13,1,279,3,12,0,0,15,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,3,22,0,0,25,13,0,0,0,13,69,9,11,2,91,3,0,0,0,3,3,1,0,0,4,5,0,0,0,5,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,6,2,3,1,12,40,7,7,2,56,26,2,2,1,31,7,9,0,0,16,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,5,5,2,0,12,0,0,0,0,0,183,36,25,6,250,Arizona,167,California,18,Texas,7,3
"ARIZONA, UNIVERSITY OF",86,2,2,0,90,18,1,2,1,22,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,21,5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,14,1,2,0,17,3,0,0,0,3,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,3,1,0,0,4,6,0,1,0,7,0,0,0,0,0,16,1,0,1,18,21,0,1,0,22,3,0,0,0,3,3,0,0,0,3,26,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,4,4,1,118,Arizona,82,Colorado,8,California,5,0
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",90,3,0,0,93,15,3,0,0,18,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,2,8,2,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37,0,0,0,37,7,0,0,0,7,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,22,6,0,0,28,11,0,0,0,11,6,0,0,0,6,6,0,0,0,6,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,107,6,0,0,113,Arkansas,80,Texas,9,Georgia,3,1
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",73,2,3,0,78,17,1,2,0,20,13,0,0,0,13,1,0,2,1,4,0,0,0,0,0,6,2,3,11,6,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,32,1,4,0,37,9,0,0,0,9,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,1,31,12,0,0,0,12,4,2,0,0,6,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1,104,3,7,1,115,Arkansas,95,Georgia,5,Texas,4,0
