SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",66,0,2,1,69,25,0,5,0,30,5,1,3,0,9,2,1,1,0,4,0,0,0,0,0,1,2,0,9,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,16,0,3,0,19,8,0,1,0,9,5,0,0,0,5,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4,25,1,4,1,31,25,0,1,0,26,2,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,98,2,11,1,112,Ohio,88,Texas,3,Illinois,2,0
"ALABAMA, UNIVERSITY OF",125,3,3,0,131,21,2,0,0,23,2,1,1,0,4,0,0,2,0,2,0,0,0,0,0,3,0,2,4,2,171,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,1,0,6,29,0,1,0,30,11,0,0,0,11,5,0,0,0,5,6,0,0,0,6,8,2,0,0,10,10,0,0,0,10,4,1,0,0,5,0,0,0,0,0,21,2,3,0,26,22,1,0,0,23,8,0,0,0,8,8,0,0,0,8,8,0,1,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,148,6,6,0,160,Alabama,96,Georgia,12,Tennessee,8,1
ALBANY LAW SCHOOL OF UNION UNIVERSITY,127,0,2,0,129,21,9,2,0,32,3,0,0,0,3,2,0,1,0,3,1,0,0,0,1,2,7,1,21,5,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,0,1,0,43,14,0,0,0,14,6,0,0,0,6,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,30,3,3,0,36,34,6,0,0,40,10,0,1,0,11,1,0,0,0,1,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,154,9,5,0,168,New York,145,Colorado,3,Pennsylvania,3,1
AMERICAN UNIVERSITY,251,9,0,3,263,72,4,0,9,85,11,0,0,3,14,0,1,1,6,8,0,0,0,0,0,14,3,4,63,6,460,44,0,0,0,44,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,20,2,0,2,24,16,1,0,0,17,6,1,0,0,7,6,1,0,0,7,7,0,0,0,7,8,0,0,0,8,25,2,0,0,27,0,0,0,1,1,31,1,1,15,48,96,3,0,1,100,59,1,0,1,61,17,0,0,0,17,28,1,0,0,29,0,0,0,0,0,13,1,0,0,14,2,0,0,1,3,334,14,1,21,370,District of Columbia,158,Maryland,62,Virginia,36,11
APPALACHIAN SCHOOL OF LAW,34,3,2,0,39,6,0,2,4,12,5,0,0,0,5,1,0,9,1,11,0,0,0,0,0,3,2,0,20,3,95,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,4,17,1,3,1,22,3,0,0,0,3,1,0,0,1,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,7,3,18,8,0,1,0,9,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,46,3,13,5,67,Virginia,19,Kentucky,10,Tennessee,9,0
ARIZONA STATE UNIVERSITY,141,5,0,0,146,33,1,1,1,36,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,198,2,5,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,8,5,0,0,0,5,35,0,1,1,37,9,0,0,0,9,10,0,0,0,10,3,0,0,0,3,7,0,0,0,7,11,0,0,0,11,6,0,0,0,6,0,0,0,0,0,32,1,0,0,33,36,1,0,0,37,8,3,0,0,11,4,0,0,0,4,13,0,0,0,13,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,182,6,1,1,190,Arizona,151,California,8,Colorado,5,0
ARIZONA SUMMIT LAW SCHOOL,136,6,1,2,145,60,33,16,1,110,32,2,5,1,40,0,0,2,0,2,0,0,0,0,0,8,0,3,18,0,326,6,1,0,0,7,1,25,0,0,26,0,0,0,0,0,0,0,0,0,0,7,26,0,0,33,10,0,0,0,10,78,7,7,0,92,10,0,1,0,11,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,4,5,3,0,12,58,10,12,2,82,46,6,0,0,52,5,6,0,0,11,2,0,0,0,2,4,0,0,0,4,0,0,0,0,1,5,5,1,2,13,0,2,0,0,2,228,41,24,4,297,Arizona,212,California,19,Texas,9,2
"ARIZONA, UNIVERSITY OF",103,0,0,1,104,15,0,2,1,18,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,8,1,1,5,4,144,9,0,0,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,22,0,0,1,23,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3,3,0,0,0,3,6,0,0,0,6,12,0,0,0,12,23,0,1,0,24,1,0,1,0,2,5,0,0,0,5,24,0,0,0,24,0,0,0,0,0,9,0,0,0,9,0,0,0,2,2,120,0,2,3,125,Arizona,90,California,7,District of Columbia,3,4
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",71,1,1,0,73,31,3,0,0,34,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,7,3,129,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,3,0,0,0,3,30,0,1,0,31,7,0,0,0,7,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,26,3,0,0,29,19,0,0,0,19,3,1,0,0,4,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,107,4,1,0,112,Arkansas,71,Texas,7,Missouri,6,1
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",74,1,3,0,78,16,2,0,0,18,1,2,1,0,4,1,0,1,1,3,0,0,0,0,0,3,1,2,13,3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,29,0,2,0,31,2,0,0,0,2,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,8,3,2,1,14,23,1,1,0,25,5,1,0,0,6,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,92,5,5,1,103,Arkansas,77,Texas,4,Florida,2,0
