SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedLawSchoolFTLT,EmployedLawSchoolFTST,EmployedLawSchoolPTLT,EmployedLawSchoolPTST,EmployedLawSchoolNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",58,2,8,2,70,20,0,5,1,26,4,0,1,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,9,8,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,6,18,0,6,0,24,10,0,2,0,12,4,0,1,0,5,3,0,0,0,3,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,20,0,2,0,22,16,0,1,2,19,2,0,0,0,2,1,0,0,0,1,1,1,0,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,86,2,14,3,105,Ohio,92,Florida,2,New York,2,0
"ALABAMA, UNIVERSITY OF",110,0,0,0,110,16,1,3,0,20,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,8,0,145,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,4,26,0,1,0,27,8,0,0,0,8,7,0,0,0,7,7,0,0,0,7,7,0,0,0,7,5,0,0,0,5,7,0,0,0,7,0,0,0,0,0,10,0,3,1,14,18,1,0,0,19,3,0,0,0,3,15,0,0,0,15,6,0,0,0,6,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,126,1,4,2,133,Alabama,66,Georgia,10,Texas,9,1
ALBANY LAW SCHOOL OF UNION UNIVERSITY,106,0,1,0,107,17,7,2,1,27,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,12,0,151,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,38,1,1,1,41,16,0,0,0,16,4,0,0,0,4,4,0,0,0,4,2,0,0,0,2,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,14,0,1,0,15,24,6,1,0,31,12,0,0,0,12,2,0,0,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,7,3,1,137,New York,126,New Jersey,3,District of Columbia,2,0
AMERICAN JUSTICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,126,New Jersey,3,District of Columbia,2,0
AMERICAN UNIVERSITY,219,5,1,0,225,56,9,4,4,73,14,1,1,4,20,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,15,7,3,67,3,415,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,23,2,2,1,28,8,0,0,0,8,5,0,0,0,5,5,0,0,0,5,8,0,0,0,8,12,0,0,0,12,35,0,0,0,35,0,0,0,0,0,34,3,1,3,41,65,6,1,0,72,28,5,1,1,35,13,0,0,0,13,46,0,0,0,46,1,0,0,1,2,5,0,1,3,9,0,0,0,0,0,289,16,6,9,320,District of Columbia,143,Virginia,39,Maryland,31,11
APPALACHIAN SCHOOL OF LAW,15,0,0,0,15,7,1,2,1,11,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,2,2,4,4,42,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,8,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,1,0,5,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,23,1,2,3,29,Virginia,15,West Virginia,5,Kentucky,3,0
ARIZONA STATE UNIVERSITY,131,1,0,0,132,35,0,3,0,38,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,13,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,37,0,2,0,39,9,0,0,0,9,6,0,0,0,6,4,0,0,0,4,5,0,0,0,5,4,0,0,0,4,10,0,0,0,10,0,0,0,0,0,31,1,3,0,35,38,0,0,0,38,1,0,0,0,1,2,0,0,0,2,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,1,5,0,173,Arizona,149,California,7,Utah,3,2
ARIZONA SUMMIT LAW SCHOOL,84,1,4,1,90,20,2,1,0,23,36,2,5,2,45,1,0,2,1,4,0,0,0,10,10,0,0,0,0,0,6,0,6,35,2,221,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,0,0,0,9,51,1,6,7,65,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,33,3,6,3,45,28,1,0,1,30,4,0,0,2,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,141,5,12,14,172,Arizona,120,Texas,11,California,4,0
"ARIZONA, UNIVERSITY OF",85,1,1,1,88,18,1,0,2,21,1,0,0,0,1,0,0,0,1,1,3,0,0,0,3,0,0,0,1,1,3,0,3,2,1,124,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,1,0,2,12,0,0,3,15,1,0,0,0,1,4,0,0,0,4,3,0,0,0,3,5,0,0,0,5,9,0,0,0,9,7,0,0,0,7,2,0,0,0,2,12,1,0,1,14,20,1,0,0,21,6,0,0,0,6,1,0,0,0,1,20,0,0,0,20,0,0,0,0,0,4,0,0,0,4,0,0,0,1,1,107,2,1,5,115,Arizona,76,California,5,New York,4,11
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",69,1,0,0,70,16,1,1,0,18,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,5,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,3,0,0,0,3,4,0,0,0,4,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,18,1,1,0,20,16,1,0,0,17,5,0,0,0,5,6,0,0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,1,0,91,Arkansas,58,Texas,12,Missouri,8,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",65,2,0,1,68,21,4,3,1,29,9,1,0,1,11,3,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,9,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,29,4,2,2,37,7,1,0,0,8,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,20,1,0,2,23,23,1,1,0,25,4,0,0,1,5,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,98,8,3,5,114,Arkansas,94,Tennessee,3,California,2,0
ATLANTA JOHN MARSHALL SAVANNAH,18,0,1,1,20,4,0,4,0,8,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,4,0,12,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,6,0,0,0,6,1,0,0,1,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24,0,6,1,31,Georgia,20,South Carolina,4,Washington,2,0
ATLANTA'S JOHN MARSHALL LAW SHOOL,50,4,4,0,58,33,3,5,5,46,12,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,13,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,36,2,7,5,50,4,2,2,0,8,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,17,20,0,0,0,20,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,95,7,9,7,118,Georgia,112,Illinois,2,Ohio,2,0
