university,yr,Number Employed,Employed Long Term,Employed Short Term,Purs Grad Deg FT,Unempl Not Seek,Unemployed Seek,Emp Status Unk,Total Graduates,Law Schl Funded,Law Schl Funded LT,Law Schl Funded ST,Emp Solo ,Emp Solo LT,Emp Solo ST,Emp 2-10,Emp 2-10 LT,Emp 2-10 ST,Emp 11-25,Emp 11-25 LT,Emp 11-25 ST,Emp 26-50,Emp 26-50 LT,Emp 36-50 ST,Emp 51-100,Emp 51-100 LT,Emp 51-100 ST,Emp 101-250,Emp 101-250 LT,Emp 101-250 ST,Emp 251-500,Emp 251-500 LT,Emp 251-500 ST,Emp 501+,Emp 501+ LT,Emp 501+ ST,Emp Type Unk,Emp Type Unk LT,Emp Type ST ,Bus & Ind,Bus & Ind LT,Bus & Ind ST,Government,Government LT,Government ST,Public Interest,Public Interest LT,Public Interest ST,Federal,Federal LT,Federal ST,State & local,State & local LT,State & local ST,Academia,Academia LT,Academia ST,Emp Type Unk,Tot Emp Type,Tot Emp Type LT,Tot Emp Type ST,State 1 Lrgst Emp,State 1 Lrgst Emp Num,State 2 Lrgst Emp,State 2 Lrgst Emp Num,State 3 Lrgst Emp,State 3 Lrgst Emp Num,Emp Forgn Countries
"AKRON, UNIVERSITY OF",2011,123,96,27,3,3,5,0,134,0,0,0,5,4,1,26,22,4,6,6,0,3,3,0,4,3,1,1,1,0,1,0,1,3,2,1,0,0,0,31,23,8,21,18,3,7,5,2,0,0,0,7,5,2,6,2,4,2,123,94,27,Ohio,102,Pennsylvania,4,Virginia,4,0
"ALABAMA, UNIVERSITY OF",2011,158,158,0,8,2,3,2,173,0,0,0,7,7,0,40,40,0,4,4,0,5,5,0,13,13,0,8,8,0,3,3,0,2,2,0,9,9,0,20,20,0,15,15,0,7,7,0,11,11,0,11,11,0,3,3,0,0,158,158,0,Alabama,109,Georgia,16,Texas,5,0
ALBANY LAW SCHOOL OF UNION UNIVERSITY,2011,222,175,47,5,4,13,6,250,0,0,0,4,3,1,54,47,7,18,10,8,11,11,0,0,0,0,5,5,0,8,7,1,6,6,0,0,0,0,51,35,16,39,28,11,10,7,3,2,2,0,10,10,0,4,4,0,0,222,175,47,New York,183,District of Columbia,7,New Jersey,5,2
AMERICAN UNIVERSITY,2011,388,300,86,25,19,31,1,464,19,2,17,1,1,0,44,35,9,14,7,7,7,6,1,8,7,1,10,10,0,9,7,2,33,32,1,4,3,1,71,39,32,82,77,5,51,27,24,18,18,0,29,29,0,5,2,3,2,388,300,86,District of Columbia,193,Virginia,39,New York,35,12
APPALACHIAN SCHOOL OF LAW,2011,57,42,14,2,0,32,17,108,0,0,0,9,8,0,21,17,4,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,8,8,0,2,1,1,0,0,0,4,1,3,0,0,0,0,57,42,14,Virginia,18,Kentucky,6,North Carolina,6,1
ARIZONA STATE UNIVERSITY,2011,164,143,21,0,1,0,2,167,8,0,8,5,5,0,50,46,4,9,9,0,4,4,0,5,5,0,6,6,0,2,2,0,7,7,0,1,0,1,23,18,5,21,17,4,13,9,4,2,2,0,10,10,0,6,3,3,0,164,143,21,Arizona,126,California,10,District of Columbia,6,0
"ARIZONA, UNIVERSITY OF",2011,139,139,0,4,8,6,2,159,3,3,0,2,2,0,25,25,0,11,11,0,1,1,0,3,3,0,4,4,0,5,5,0,3,3,0,2,2,0,13,13,0,23,23,0,14,14,0,6,6,0,23,23,0,4,4,0,0,139,139,0,Arizona,95,California,8,District of Columbia,5,3
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2011,115,107,3,11,2,7,2,137,0,0,0,7,7,0,34,32,2,6,6,0,4,4,0,6,6,0,3,3,0,2,2,0,0,0,0,0,0,0,24,22,1,13,13,0,4,3,0,3,3,0,4,4,0,2,2,0,3,115,107,3,Arkansas,67,Texas,12,Georgia,5,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2011,105,97,8,6,1,10,0,122,1,1,0,4,4,0,32,30,2,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,3,19,16,3,6,6,0,2,2,0,4,4,0,5,5,0,0,105,97,8,Arkansas,85,Texas,5,Georgia,3,1
ATLANTA'S JOHN MARSHALL LAW SCHOOL,2011,152,136,13,1,0,13,0,166,5,1,4,17,16,1,41,40,0,2,2,0,1,1,0,4,4,0,0,0,0,1,1,0,2,1,1,4,3,1,38,31,6,28,27,1,7,3,3,0,0,0,2,2,0,5,5,0,0,152,136,13,Georgia,133,New Jersey,4,Florida,3,0
