SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedLawSchoolFTLT,EmployedLawSchoolFTST,EmployedLawSchoolPTLT,EmployedLawSchoolPTST,EmployedLawSchoolNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",73,1,8,3,85,17,3,2,1,23,7,0,4,1,12,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,2,8,4,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,5,25,1,6,1,33,6,0,0,0,6,3,0,0,0,3,3,0,0,0,3,9,0,0,0,9,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,22,3,6,1,32,19,0,2,2,23,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,97,4,18,5,124,Ohio,105,Pennsylvania,6,California,2,0
"ALABAMA, UNIVERSITY OF",104,3,3,0,110,13,3,0,2,18,2,1,1,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,3,0,23,8,0,0,0,8,12,0,0,0,12,3,0,0,0,3,9,0,0,0,9,9,0,0,0,9,4,0,0,0,4,0,0,0,0,0,14,3,1,2,20,13,2,0,0,15,2,1,0,1,4,12,0,0,0,12,12,0,0,0,12,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,120,7,4,4,135,Alabama,72,Texas,12,Tennessee,9,1
ALBANY LAW SCHOOL OF UNION UNIVERSITY,119,0,1,0,120,25,5,2,1,33,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,22,0,183,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,1,1,4,30,0,1,0,31,9,1,0,0,10,8,0,0,0,8,5,0,0,0,5,5,0,0,0,5,7,1,0,0,8,6,0,0,0,6,0,0,1,0,1,18,0,0,0,18,34,3,0,0,37,10,0,0,0,10,3,0,0,0,3,8,0,0,0,8,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,150,5,3,1,159,New York,139,New Jersey,3,Pennsylvania,3,0
AMERICAN UNIVERSITY,205,4,1,2,212,76,6,3,9,94,12,4,2,2,20,1,0,0,1,2,4,42,0,0,46,0,0,0,0,0,10,5,8,61,6,464,4,40,0,0,44,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,42,0,0,46,0,0,0,0,0,20,3,2,5,30,7,2,0,1,10,5,2,0,0,7,6,0,0,0,6,4,0,0,0,4,7,0,1,0,8,41,1,1,0,43,0,0,0,0,0,44,4,1,3,52,72,16,0,0,88,33,25,0,5,63,19,0,0,0,19,35,1,0,0,36,0,2,0,0,2,5,0,1,0,6,0,0,0,0,0,298,56,6,14,374,District of Columbia,177,Maryland,39,New York,36,13
APPALACHIAN SCHOOL OF LAW,29,1,0,0,30,5,1,1,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,3,4,4,7,60,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,5,0,0,0,5,15,1,1,0,17,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,36,3,1,0,40,Virginia,15,Kentucky,8,West Virginia,5,0
ARIZONA STATE UNIVERSITY,161,0,3,0,164,34,0,4,0,38,6,0,1,0,7,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,3,9,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,49,0,3,0,52,12,0,0,0,12,4,0,0,0,4,8,0,0,0,8,9,0,0,0,9,7,0,0,0,7,5,0,0,0,5,2,0,0,0,2,38,0,5,0,43,40,0,1,0,41,3,0,0,0,3,4,0,0,0,4,15,0,0,0,15,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,201,0,10,0,211,Arizona,164,California,12,Colorado,4,1
ARIZONA SUMMIT LAW SCHOOL,133,2,8,0,143,43,1,8,1,53,33,4,6,1,44,5,0,5,2,12,0,0,0,0,0,0,0,0,0,0,11,0,7,61,3,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,60,1,7,0,68,5,0,0,0,5,4,0,0,0,4,3,0,1,0,4,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,8,0,2,1,11,59,5,14,1,79,41,0,3,0,44,5,0,0,1,6,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,8,1,0,1,10,0,0,0,0,0,214,7,27,4,252,Arizona,196,Texas,14,California,11,0
"ARIZONA, UNIVERSITY OF",89,1,0,2,92,11,3,0,5,19,4,0,0,1,5,1,0,0,1,2,11,1,0,0,12,0,0,0,0,0,4,1,3,4,2,144,4,1,0,0,5,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,1,0,0,12,2,0,0,0,2,18,1,0,4,23,13,0,0,0,13,2,0,0,0,2,3,0,0,0,3,3,1,0,0,4,5,0,0,0,5,7,0,0,0,7,1,0,0,0,1,7,0,0,4,11,22,2,0,0,24,2,0,0,0,2,4,0,0,0,4,17,0,0,0,17,0,0,0,0,0,10,1,0,1,12,0,0,0,0,0,116,5,0,9,130,Arizona,78,California,13,New York,6,7
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",84,1,0,0,85,25,1,1,0,27,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,2,3,2,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46,0,1,0,47,11,0,0,0,11,4,0,0,0,4,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,15,2,0,2,19,17,0,0,0,17,2,0,0,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,109,2,1,3,115,Arkansas,85,Texas,11,Tennessee,4,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",66,2,0,0,68,24,0,2,0,26,3,0,0,0,3,3,0,3,1,7,0,0,0,0,0,0,0,0,0,0,4,0,1,15,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,18,0,2,0,20,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,18,1,2,0,21,25,0,1,0,26,4,1,0,0,5,1,0,0,0,1,4,0,0,0,4,3,0,0,0,3,1,0,0,0,1,2,0,0,1,3,96,2,5,1,104,Arkansas,73,Texas,7,Colorado,3,1
ATLANTA JOHN MARSHALL SAVANNAH,13,0,1,0,14,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,10,0,1,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2,0,17,Georgia,12,New York,1,Ohio,1,0
ATLANTA'S JOHN MARSHALL LAW SHOOL,31,4,1,1,37,34,3,5,3,45,13,1,1,0,15,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,6,8,2,116,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,30,1,3,3,37,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24,6,3,1,34,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,80,8,7,4,99,Georgia,89,Florida,2,Connecticut,2,0
AVE MARIA SCHOOL OF LAW,31,0,4,1,36,11,1,3,3,18,5,1,2,0,8,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,3,0,2,18,1,88,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,20,0,5,1,26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,4,1,11,14,0,0,1,15,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,48,2,10,4,64,Florida,35,Kentucky,3,New York,3,0
"BALTIMORE, UNIVERSITY OF",143,6,0,0,149,55,3,9,3,70,12,0,4,1,17,1,0,7,0,8,0,0,0,1,1,0,0,0,0,0,1,3,4,13,1,267,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,45,1,9,2,57,5,1,0,0,6,3,0,0,0,3,8,0,0,0,8,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4,0,0,0,1,1,29,1,8,0,38,42,0,0,0,42,5,0,3,1,9,0,0,0,0,0,62,6,0,0,68,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,211,9,20,5,245,Maryland,207,District of Columbia,15,Virginia,7,0
BARRY UNIVERSITY,80,0,0,0,80,33,3,3,0,39,16,1,4,0,21,7,0,3,0,10,0,0,0,0,0,0,0,2,0,2,6,0,7,47,20,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,37,2,3,0,42,9,0,0,0,9,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,2,0,0,0,2,0,0,0,0,0,32,1,5,0,38,29,0,3,0,32,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,136,4,12,0,152,Florida,126,New Jersey,4,California,2,1
BAYLOR UNIVERSITY,88,0,1,1,90,5,0,0,0,5,1,1,0,0,2,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,2,0,0,5,108,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,0,0,0,3,36,0,0,0,36,9,0,0,0,9,9,0,0,1,10,1,0,0,0,1,6,0,0,0,6,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,6,1,0,0,7,11,0,1,0,12,1,0,0,0,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,95,2,1,2,100,Texas,96,Colorado,1,New Mexico,1,0
BELMONT UNIVERSITY,53,6,0,0,59,8,1,0,1,10,2,0,1,0,3,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,15,0,0,0,15,3,0,0,0,3,1,0,0,0,1,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,19,7,2,1,29,11,0,0,0,11,1,0,1,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,66,7,3,1,77,Tennessee,73,Alabama,2,Kansas,1,0
BOSTON COLLEGE,191,1,0,0,192,15,5,1,1,22,6,0,1,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,6,2,1,12,0,247,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,0,0,0,1,14,0,1,0,15,5,1,0,0,6,11,0,0,0,11,5,0,0,0,5,19,0,0,0,19,18,0,0,0,18,57,0,0,0,57,0,0,0,0,0,23,4,0,0,27,21,1,0,0,22,12,0,0,0,12,8,0,0,0,8,16,0,0,0,16,3,0,0,0,3,4,0,1,1,6,0,0,0,0,0,217,6,2,1,226,Massachusetts,127,New York,35,California,6,1
BOSTON UNIVERSITY,157,6,0,2,165,6,0,0,1,7,1,0,0,0,1,1,0,0,2,3,12,0,0,5,17,0,0,0,0,0,3,1,2,8,1,208,12,0,0,4,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,5,17,1,0,0,1,2,15,2,0,0,17,4,0,0,0,4,9,1,0,0,10,5,0,0,0,5,15,0,0,0,15,7,0,0,0,7,48,0,0,0,48,0,0,0,0,0,14,3,0,2,19,32,0,0,3,35,15,0,0,2,17,2,0,0,0,2,9,0,0,0,9,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,177,6,0,10,193,Massachusetts,105,New York,34,District Of Columbia,7,3
BRIGHAM YOUNG UNIVERSITY,75,0,7,4,86,12,1,1,0,14,1,0,3,1,5,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,1,1,6,7,1,133,9,0,0,0,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,1,0,1,1,3,20,0,3,2,25,3,0,1,0,4,4,0,0,0,4,5,0,1,0,6,4,0,0,0,4,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,16,1,2,1,20,16,0,1,1,18,6,0,0,0,6,3,0,0,0,3,15,0,0,0,15,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,100,1,11,5,117,Utah,69,California,8,Arizona,6,2
BROOKLYN LAW SCHOOL,215,1,0,2,218,31,1,2,1,35,9,0,1,2,12,0,0,0,0,0,0,0,0,34,34,0,1,0,0,1,3,3,2,23,5,336,0,0,0,33,33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,41,0,1,3,45,20,0,0,0,20,9,0,0,0,9,9,0,0,0,9,11,0,0,0,11,7,0,0,0,7,44,0,1,0,45,1,1,0,0,2,44,1,0,1,46,36,0,1,18,55,16,0,0,14,30,11,0,0,1,12,4,0,0,1,5,0,0,0,0,0,2,0,0,0,2,0,1,0,1,2,255,3,3,39,300,NEW YORK,271,NEW JERSEY,10,CALIFORNIA,3,1
CALIFORNIA WESTERN SCHOOL OF LAW,90,0,7,1,98,39,3,5,0,47,6,0,1,0,7,3,1,2,0,6,0,0,0,0,0,0,0,0,0,0,3,3,6,44,10,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,8,45,0,8,1,54,12,0,0,0,12,8,0,0,0,8,5,0,1,0,6,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,19,2,3,0,24,24,2,0,0,26,4,0,1,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,0,1,0,4,1,0,0,0,1,138,4,15,1,158,California,140,District Of Columbia,4,Nevada,3,1
"CALIFORNIA-BERKELEY, UNIVERSITY OF",237,1,1,0,239,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,11,3,0,0,14,0,0,0,0,0,3,5,2,9,0,278,11,2,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,3,0,0,14,1,0,0,0,1,14,0,1,0,15,13,0,0,0,13,1,0,0,0,1,2,0,0,0,2,6,0,0,0,6,22,0,0,0,22,98,0,0,0,98,0,0,0,0,0,6,0,0,0,6,29,0,0,0,29,24,2,0,0,26,31,0,0,0,31,6,0,0,0,6,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,254,4,1,0,259,California,159,New York,32,District of Columbia,16,2
"CALIFORNIA-DAVIS, UNIVERSITY OF",125,0,2,4,131,9,1,1,2,13,0,0,0,0,0,0,0,0,0,0,9,0,0,10,19,0,0,0,0,0,2,2,2,11,5,185,9,0,0,0,9,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,10,19,1,0,0,0,1,22,0,1,2,25,13,0,1,0,14,10,0,0,0,10,8,0,0,0,8,3,0,0,0,3,3,0,0,0,3,22,0,0,0,22,5,0,0,0,5,14,0,0,2,16,23,1,1,2,27,13,0,0,0,13,1,0,0,0,1,4,0,0,0,4,0,0,0,0,0,1,0,0,10,11,0,0,0,0,0,143,1,3,16,163,California,148,District of Columbia,3,New York,3,2
"CALIFORNIA-HASTINGS, UNIVERSITY OF",174,6,4,3,187,28,5,8,2,43,5,0,0,2,7,1,1,2,0,4,4,1,1,14,20,0,0,0,0,0,0,2,2,37,6,308,4,1,0,7,12,0,0,1,7,8,0,0,0,0,0,0,0,0,0,0,4,1,1,14,20,3,0,2,1,6,34,3,7,3,47,20,0,0,1,21,10,1,1,0,12,7,0,0,0,7,14,0,0,0,14,6,0,0,0,6,42,0,0,0,42,0,0,0,0,0,29,6,3,2,40,18,3,0,9,30,17,0,0,5,22,5,0,0,0,5,0,0,0,0,0,4,0,0,0,4,3,0,2,0,5,0,0,0,0,0,212,13,15,21,261,California,236,New York,4,Washington,4,0
"CALIFORNIA-IRVINE, UNIVERSITY OF",71,0,1,0,72,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,3,2,3,8,0,110,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,7,0,1,0,8,6,0,0,0,6,2,0,0,0,2,3,0,0,0,3,3,0,0,0,3,2,0,0,0,2,12,0,0,0,12,0,0,0,0,0,3,0,0,0,3,20,0,0,0,20,18,0,0,0,18,14,0,0,0,14,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,93,0,1,0,94,CALIFORNIA,65,DISTRICT OF COLUMBIA,5,HAWAII,5,0
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",247,1,5,1,254,25,1,2,2,30,1,0,1,0,2,0,0,0,0,0,34,0,0,0,34,0,0,0,0,0,3,0,3,9,0,335,31,0,0,0,31,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,1,0,0,0,1,29,1,2,1,33,23,0,2,1,26,10,0,0,0,10,7,0,0,0,7,11,0,0,0,11,24,0,0,0,24,100,0,0,0,100,0,0,0,0,0,28,0,3,1,32,23,0,0,0,23,25,0,1,0,26,16,0,0,0,16,5,0,0,0,5,0,0,0,0,0,5,1,0,0,6,0,0,0,0,0,307,2,8,3,320,California,270,New York,11,District Of Columbia,5,5
CAMPBELL UNIVERSITY,73,2,0,4,79,17,2,2,3,24,1,0,0,0,1,0,0,0,4,4,3,0,0,0,3,0,0,0,0,0,1,0,0,25,8,145,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,34,2,1,1,38,4,0,0,0,4,2,1,0,0,3,4,0,0,0,4,3,0,0,0,3,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,16,1,1,9,27,21,0,0,0,21,0,0,0,1,1,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,94,4,2,11,111,North Carolina,96,Virginia,6,Florida,2,0
