school_uuid,class_of,url_source,downloaded_on
1,2016,https://www.samford.edu/cumberlandlaw/files/ABA_Employment_Data_2016.pdf,
1,2015,https://www.samford.edu/cumberlandlaw/files/ABA_Employment_Data_2015.pdf,
1,2014,https://www.samford.edu/cumberlandlaw/files/ABA-2014.pdf,
1,2013,https://www.samford.edu/cumberlandlaw/files/ABA-2013.pdf,
1,2012,https://www.samford.edu/cumberlandlaw/files/ABA-2012.pdf,
1,2011,N/A,N/A
1,2010,N/A,N/A
2,2016,https://www.law.ua.edu/wp-content/uploads/ABA-2016-Employment-Final.pdf,2017-09-08
2,2015,https://www.law.ua.edu/wp-content/uploads/2015-ABA-Placement-Summary.pdf,2017-09-08
2,2014,https://www.law.ua.edu/wp-content/uploads/2014-ABA-Placement-Summary.pdf,2017-09-08
2,2013,https://www.law.ua.edu/wp-content/uploads/2013-ABA-Placement-Summary.pdf,2017-09-08
2,2012,https://www.law.ua.edu/wp-content/uploads/2012-ABA-Placement-Summary.pdf,2017-09-08
2,2011,N/A,N/A
2,2010,N/A,N/A
3,2016,https://law.asu.edu/sites/default/files/abadisclosures/summary-report-2016-graduates.pdf,2017-09-09
3,2015,https://law.asu.edu/sites/default/files/multimedia/abadisclosures/employment-summary-2015_update.pdf,2017-09-09
3,2014,https://law.asu.edu/sites/default/files/multimedia/abadisclosures/employment-questionnaire-2014.pdf,2017-09-09
3,2013,N/A,N/A
3,2012,N/A,N/A
3,2011,N/A,N/A
3,2010,N/A,N/A
4,2016,https://law.arizona.edu/sites/default/files/aba_employment_summary_for_2016_graduates.pdf,2017-09-09
4,2015,https://law.arizona.edu/sites/default/files/employment_summary_2015_grads_09202016.pdf,2017-09-09
4,2014,http://law2.arizona.edu/career/documents/ABA%20Employment%20Summary%20Arizona%20Law%20Class%20of%202014.PDF,2017-09-09
4,2013,http://www.law2.arizona.edu/Admissions/About_AZLAW/ABA_Employment_2013.pdf,2017-09-09
4,2012,http://www.law2.arizona.edu/Admissions/About_AZLAW/EmploymentSummaryClass2012.pdf,2017-09-09
4,2011,http://www.law2.arizona.edu/career/Statistics2011.pdf,2017-09-09
4,2010,http://www.law2.arizona.edu/career/Statistics2010.pdf,2017-09-09
4,2009,http://www.law2.arizona.edu/career/Statistics2009.pdf,2017-09-09
5,2016,https://law.uark.edu/_documents/509/EmploymentOutcomes2016.pdf,2017-09-09
5,2015,https://law.uark.edu/_documents/509/EmploymentOutcomes2015.pdf,2017-09-09
5,2014,https://law.uark.edu/_documents/509/EmploymentOutcomes2014.pdf,2017-09-09
5,2013,https://law.uark.edu/_documents/509/EmploymentSummary-2013.pdf,2017-09-09
5,2012,https://law.uark.edu/_documents/509/EmploymentSummary-2012.pdf,2017-09-09
5,2011,N/A,N/A
5,2010,N/A,N/A
6,2016,http://ualr.edu/law/files/2010/09/ABA-Employment-Statistics-2016.pdf,2017-09-09
6,2015,http://ualr.edu/law/files/2010/09/ABA-Employment-Summary-2015-Grads.pdf,2017-09-09
6,2014,http://ualr.edu/law/files/2010/09/ABA-Employment-Summary-2014-Grads.pdf,2017-09-09
6,2013,http://ualr.edu/law/files/2010/09/ABA-Employment-Summary-2013-Grads.pdf,2017-09-09
6,2012,http://ualr.edu/law/files/2013/05/EmploymentSummary-2013.pdf,2017-09-09
6,2011,N/A,N/A
6,2010,N/A,N/A
7,2016,https://www.law.berkeley.edu/wp-content/uploads/2017/04/EmploymentQuestionnaireSummary-04-12-2017.pdf,2017-09-09
7,2015,https://www.law.berkeley.edu/wp-content/uploads/2016/04/EmploymentQuestionnaireSummary-Class-of-2015.pdf,2017-09-09
7,2014,https://www.law.berkeley.edu/wp-content/uploads/2015/04/Employment_Summary2014grads.pdf,2017-09-09
7,2013,N/A,N/A
7,2012,N/A,N/A
7,2011,N/A,N/A
7,2010,N/A,N/A
8,2016,https://law.ucdavis.edu/career-services/statistics/files/ABA-590.pdf,2017-09-09
8,2015,https://law.ucdavis.edu/career-services/statistics/files/ABA-509-1.pdf,2017-09-09
8,2014,https://law.ucdavis.edu/career-services/statistics/files/ABA-509-2.pdf,2017-09-09
8,2013,N/A,N/A
8,2012,N/A,N/A
8,2011,N/A,N/A
8,2010,N/A,N/A
9,2016,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/EmploymentQuestionnaireSummary-9-10-04-07-2017%2014-52-45.ashx,2017-09-09
9,2015,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/ABA%20Employment%20Summary%20Class%20of%202015%20rev%20083116.ashx,2017-09-09
9,2014,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/Class_of_2014_ABA_Employment_Summary.ashx,2017-09-09
9,2013,https://law.ucla.edu/~/media/Assets/Careers/Documents/Employment%20Statistics/Class_of_2013_ABA_Employment_Summary.ashx,2017-09-09
9,2012,N/A,N/A
9,2011,N/A,N/A
9,2010,N/A,N/A
10,2016,http://www.lls.edu/media/loyolalawschool/careerdevelopmentoffice/resources/ABA_Class_of_2016_Employment_Summary.pdf,
10,2015,http://www.lls.edu/media/loyolalawschool/careerdevelopmentoffice/resources/ABA_Class_of_2015_Employment_Summary.pdf,
10,2014,http://www.lls.edu/media/loyolalawschool/careerdevelopmentoffice/resources/ABA_Class_of_2014_Employment_Summary.pdf,
10,2013,http://www.lls.edu/media/loyolalawschool/careerdevelopmentoffice/resources/ABA_Class_of_2013_Employment_Summary.pdf,
10,2012,http://www.lls.edu/media/loyolalawschool/careerdevelopmentoffice/resources/ABA_Class_of_2012_Employment_Summary.pdf,
10,2011,http://www.lls.edu/media/loyolalawschool/careerdevelopmentoffice/resources/ABA_Class_of_2011_Employment_Summary.pdf,
10,2010,N/A,N/A
12,2016,http://gould.usc.edu/resources/downloads/careers/jd/students/statistics/ABA_Employment_Summary_for_2016_Graduates.pdf,
12,2015,http://gould.usc.edu/resources/downloads/careers/jd/students/statistics/ABA_Employment_Summary_for_2015_Graduates.pdf,
12,2014,http://gould.usc.edu/resources/downloads/careers/jd/students/statistics/ABA_Employment_Summary_for_2014_graduates.pdf,
12,2013,N/A,N/A
12,2012,N/A,N/A
12,2011,N/A,N/A
12,2010,N/A,N/A
13,2016,http://www.mcgeorge.edu/Documents/CDO/2016ClassABASummaryReport.pdf,
13,2015,http://www.mcgeorge.edu/Documents/CDO/2015ClassABASummaryReport.pdf,
13,2014,http://www.mcgeorge.edu/Documents/CDO/2014ClassABASummaryReport.pdf,
13,2013,http://www.mcgeorge.edu/Documents/CDO/2013ClassABASummaryReport.pdf,
13,2012,http://www.mcgeorge.edu/Documents/CDO/2012ClassABASummaryReport.pdf,
13,2011,http://www.mcgeorge.edu/Documents/CDO/2011ClassABASummaryReport.pdf,
13,2010,http://www.mcgeorge.edu/Documents/CDO/2010ClassABASummaryReport.pdf,
14,2016,https://www.cwsl.edu/-/media/files/career-and-professional-development/aba_employment_summary_2016.ashx?la=en,2017-09-09
14,2015,https://www.cwsl.edu/-/media/files/career-and-professional-development/aba_employment_survey_summary_sheet_classof2015.ashx?la=en,2017-09-09
14,2014,https://www.cwsl.edu/-/media/files/career-and-professional-development/final_erss_summarysheet_classof2014.ashx?la=en,2017-09-09
14,2013,https://www.cwsl.edu/-/media/files/career-and-professional-development/2013_erss_summary-sheet.ashx?la=en,2017-09-09
14,2012,https://www.cwsl.edu/-/media/files/career-and-professional-development/2012_erss_summary_sheet.ashx?la=en,2017-09-09
14,2011,https://www.cwsl.edu/-/media/files/career-and-professional-development/final_2011_erss_summary-sheet.ashx?la=en,2017-09-09
14,2010,https://www.cwsl.edu/-/media/files/career-and-professional-development/final_2010_erss_summary_sheet_62712.ashx?la=en,2017-09-09
15,2016,https://www.sandiego.edu/law/documents/careers/2016-corrected-aba-employment-questionnaire-summary-6-5-17.pdf#https://cms.sandiego.edu/entity/open.act?id=b9a5a8ca0a51a54b29733df768b79ab3&type=file&,
15,2015,https://www.sandiego.edu/law/documents/careers/EmploymentSummary-2015%20corrected%20with%20153%20for%20website%209-20-16.pdf#https://cms.sandiego.edu/entity/open.act?id=b9a5a8ca0a51a54b29733df768b79ab3&type=file&,
15,2014,https://www.sandiego.edu/law/documents/careers/2014%20Emp%20Data%20ABA%20updated%20with%20268%204-28-15.pdf#https://cms.sandiego.edu/entity/open.act?id=b9a5a8ca0a51a54b29733df768b79ab3&type=file&,
15,2013,N/A,N/A
15,2012,N/A,N/A
15,2011,N/A,N/A
15,2010,N/A,N/A
16,2016,http://www.uchastings.edu/about/consumer-info/2017EmploymentSummaryReport.pdf,2017-09-09
16,2015,http://www.uchastings.edu/career-office/docs/ABA%20Summary%20for%20website.pdf,2017-09-09
16,2014,http://www.uchastings.edu/about/consumer-info/docs/2014%20ABA%20Employment%20Summary.pdf,2017-09-09
16,2013,http://www.uchastings.edu/about/consumer-info/docs/2014EmploymentSummaryReport.pdf,2017-09-09
16,2012,http://www.uchastings.edu/about/consumer-info/docs/EmploymentSummary2012.pdf,2017-09-09
16,2011,http://www.uchastings.edu/about/consumer-info/docs/EmploymentSummary2011.pdf,2017-09-09
16,2010,N/A,N/A
17,2016,http://www.ggu.edu/media/law/documents/career-development/ggu-aba-employment-summary-class-of-2016.pdf,2017-09-11
17,2015,http://www.ggu.edu/media/law/documents/career-development/ggu-aba-employment-summary-class-of-2015.pdf,2017-09-11
17,2014,http://www.ggu.edu/media/law/documents/career-development/ggu-aba-employment-summary-class-of-2014.pdf,2017-09-11
17,2013,http://www.ggu.edu/media/law/documents/career-development/ggu-aba-employment-summary-class-of-2013.pdf,2017-09-11
17,2012,https://s3.amazonaws.com/symp.csm.usprod/law-ggu/files/a86/a86c983ab6196931f164ea53971174ca.pdf,2017-09-11
17,2011,https://s3.amazonaws.com/symp.csm.usprod/law-ggu/files/b25/b25ceddad57b8e3755603e4e7dd7aba1.pdf,2017-09-11
17,2010,N/A,N/A
18,2016,https://dgfmssnschws7.cloudfront.net/sites/default/files/law/usf_law_class_of_2016_aba_employment_summary_report.pdf,
18,2015,https://dgfmssnschws7.cloudfront.net/sites/default/files/law/aba_report_4.5.16_0.pdf,
18,2014,https://dgfmssnschws7.cloudfront.net/sites/default/files/law/usf_law_class_of_2014_aba_employment_summary_report.pdf,
18,2013,https://dgfmssnschws7.cloudfront.net/sites/default/files/law/classof2013abasummaryemploymentreport.pdf,
18,2012,https://dgfmssnschws7.cloudfront.net/sites/default/files/law/usf_class_of_2012_aba_employmentsummary_report.pdf,
18,2011,https://dgfmssnschws7.cloudfront.net/sites/default/files/law/employmentsummary-2011.pdf,
18,2010,N/A,N/A
19,2016,https://law.pepperdine.edu/career-development/content/aba-data-2016.pdf,
19,2015,https://law.pepperdine.edu/career-development/content/aba-data-2015.pdf,
19,2014,https://law.pepperdine.edu/career-development/content/aba-data-2014.pdf,
19,2013,https://law.pepperdine.edu/career-development/content/aba-data-2013.pdf,
19,2012,N/A,N/A
19,2011,N/A,N/A
19,2010,N/A,N/A
20,2016,http://1x937u16qcra1vnejt2hj4jl.wpengine.netdna-cdn.com/wp-content/uploads/EmploymentQuestionnaireSummary-2016.pdf,
20,2015,http://1x937u16qcra1vnejt2hj4jl.wpengine.netdna-cdn.com/wp-content/uploads/EmploymentQuestionnaireSummary-20-1535-04-12-2016-18-13-17.pdf,
20,2014,http://1x937u16qcra1vnejt2hj4jl.wpengine.netdna-cdn.com/wp-content/uploads/EmploymentQuestionnaireSummary-20-4696-04-27-2015-15-26-59.pdf,
20,2013,N/A,N/A
20,2012,N/A,N/A
20,2011,N/A,N/A
20,2010,N/A,N/A
21,2016,https://www-cdn.law.stanford.edu/wp-content/uploads/2015/05/Class-of-2016-FINAL-ABA-Stats.pdf,
21,2015,https://www-cdn.law.stanford.edu/wp-content/uploads/2016/04/Class-of-2015-As-of-March-15-ABA-Stats-3-29-16-3.pdf,
21,2014,https://law.stanford.edu/index.php?webauth-document=child-page/351563/doc/slspublic/ABA%20Stats%20-%202014%20-%204-6-15.pdf,
21,2013,https://law.stanford.edu/index.php?webauth-document=child-page/351563/doc/slspublic/ABA%20Stats%20-%202013%20-%20UPDATED.pdf,
21,2012,https://law.stanford.edu/index.php?webauth-document=child-page/351563/doc/slspublic/ABA%20Stats%20-%202012%20-%20UPDATED.pdf,
21,2011,N/A,N/A
21,2010,N/A,N/A
22,2016,http://www.colorado.edu/law/sites/default/files/attached-files/class_of_2016_aba_employment_summary_-_updated.pdf,2017-09-09
22,2015,http://www.colorado.edu/law/sites/default/files/Class%20of%202015%20ABA%20Employment%20Summary.pdf,2017-09-09
22,2014,http://www.colorado.edu/law/sites/default/files/Class%20of%202014%20Report_0.pdf,2017-09-09
22,2013,http://www.colorado.edu/law/sites/default/files/Class%20of%202013%20NALP%20Report.pdf,2017-09-09
22,2012,N/A,N/A
22,2011,N/A,N/A
22,2010,N/A,N/A
23,2016,http://www.law.du.edu/documents/career-development-and-opportunities/2016-ABA-Report.pdf,2017-09-11
23,2015,http://www.law.du.edu/documents/career-development-and-opportunities/2015-ABA-Report.pdf,2017-09-11
23,2014,http://www.law.du.edu/documents/career-development-and-opportunities/2014-ABA-Report.pdf,2017-09-11
23,2013,http://www.law.du.edu/documents/career-development-and-opportunities/2013-ABA-Report.pdf,2017-09-11
23,2012,http://www.law.du.edu/documents/career-development-and-opportunities/ABAEmploymentSummary-2012.pdf,2017-09-11
23,2011,http://www.law.du.edu/documents/career-development-and-opportunities/2011-ABA-Report.pdf,2017-09-11
23,2010,http://www.law.du.edu/documents/career-development-and-opportunities/2010-ABA-Report.pdf,2017-09-11
24,2016,https://www.law.uconn.edu/sites/default/files/content-page/ABA-509-Employment-Report-Class-of-2016-04-12-17.pdf,2017-09-09
24,2015,https://www.law.uconn.edu/sites/default/files/content-page/Graduate-Employment-Outcomes-Class-of-2015-2016-04-26.pdf,2017-09-09
24,2014,https://www.law.uconn.edu/sites/default/files/content-page/Graduate%20Employment%20Outcomes%20Class%20of%202014.pdf,2017-09-09
24,2013,https://www.law.uconn.edu/sites/default/files/content-page/Graduate%20Employment%20Outcomes%20Class%20of%202013%2003-21-14.pdf,2017-09-09
24,2012,https://www.law.uconn.edu/sites/default/files/content-page/Graduate%20Employment%20Outcomes%20Class%20of%202012%20%28updated%29.pdf,2017-09-09
24,2011,https://www.law.uconn.edu/sites/default/files/content-page/Graduate%20Employment%20Outcomes%20Class%20of%202011%20%28updated%29.pdf,2017-09-09
24,2010,https://www.law.uconn.edu/sites/default/files/content-page/Graduate%20Employment%20Outcomes%20Class%20of%202010.pdf,2017-09-09
25,2016,https://law.yale.edu/student-life/career-development/employment-data/class-2016-employment,
25,2015,https://law.yale.edu/student-life/career-development/employment-data/class-2015-employment,
25,2014,N/A,N/A
25,2013,N/A,N/A
25,2012,N/A,N/A
25,2011,N/A,N/A
25,2010,N/A,N/A
26,2016,http://delawarelaw.widener.edu/files/resources/abaemploymentstatsclassof201617a1700px.jpg,
26,2015,http://delawarelaw.widener.edu/files/resources/abaemploymentstatsclassof2015pp1.jpg,
26,2014,http://delawarelaw.widener.edu/files/resources/declassof2014employmentstatistics.jpg,
26,2013,N/A,N/A
26,2012,N/A,N/A
26,2011,N/A,N/A
26,2010,N/A,N/A
27,2016,https://www.wcl.american.edu/career/documents/EmploymentSummary-2017.pdf,2017-09-09
27,2015,https://www.wcl.american.edu/career/documents/statistics2015_000.pdf,2017-09-09
27,2014,https://www.wcl.american.edu/career/documents/statistics2014.pdf,2017-09-09
27,2013,https://www.wcl.american.edu/career/documents/statistics2013.pdf,2017-09-09
27,2012,https://www.wcl.american.edu/career/documents/2012Statistics.pdf,2017-09-09
27,2011,N/A,N/A
27,2010,N/A,N/A
29,2016,http://www.law.edu/res/docs/2017-EmploymentClassof2016.pdf,2017-09-09
29,2015,http://www.law.edu/res/docs/ABAEmploymentSummaryfor2015Graduates.pdf,2017-09-09
29,2014,http://www.law.edu/res/docs/EmploymentQuestionnaireSummary.pdf,2017-09-09
29,2013,N/A,N/A
29,2012,N/A,N/A
29,2011,N/A,N/A
29,2010,N/A,N/A
30,2016,https://www.law.georgetown.edu/careers/upload/L16-ABA-Employment-Summary-4.pdf,2017-09-11
30,2015,https://www.law.georgetown.edu/careers/upload/Employment-Summary-for-2015-Graduates.pdf,2017-09-11
