school_name,school_uuid,reports_index,class_of,report_url,downloaded_on
AKRON,114,,2016,https://www.uakron.edu/law/docs/2017-08-24.employment-report.pdf,2017-09-08
AKRON,114,,2015,https://www.uakron.edu/law/docs/2015_EmploymentSummary.pdf,2017-09-08
AKRON,114,,2014,https://www.uakron.edu/law/docs/2015-4-27-employmentSurvey-ver2.pdf,2017-09-08
AKRON,114,,2013,https://www.uakron.edu/law/docs/EmploymentSummary-2014[1].pdf,2017-09-08
AKRON,114,,2012,https://www.uakron.edu/law/docs/EmploymentSummary-2013[2].pdf,2017-09-08
AKRON,114,,2011,https://www.uakron.edu/law/docs/EmploymentSummary-2012[1].pdf,2017-09-08
AKRON,114,,2010,N/A,N/A
ALABAMA,2,,2016,https://www.law.ua.edu/wp-content/uploads/ABA-2016-Employment-Final.pdf,2017-09-08
ALABAMA,2,,2015,https://www.law.ua.edu/wp-content/uploads/2015-ABA-Placement-Summary.pdf,2017-09-08
ALABAMA,2,,2014,https://www.law.ua.edu/wp-content/uploads/2014-ABA-Placement-Summary.pdf,2017-09-08
ALABAMA,2,,2013,https://www.law.ua.edu/wp-content/uploads/2013-ABA-Placement-Summary.pdf,2017-09-08
ALABAMA,2,,2012,https://www.law.ua.edu/wp-content/uploads/2012-ABA-Placement-Summary.pdf,2017-09-08
ALABAMA,2,,2011,N/A,N/A
ALABAMA,2,,2010,N/A,N/A
ALBANY,97,,2016,http://www.albanylaw.edu/careers/employment-statistics/Documents/ABA%20Employment%20Questionnaire%20-%20Class%20of%202016.pdf,2017-09-08
ALBANY,97,,2015,http://www.albanylaw.edu/careers/employment-statistics/Documents/Class%20of%202015%20ABA%20Summary.pdf,2017-09-08
ALBANY,97,,2014,http://www.albanylaw.edu/careers/employment-statistics/Documents/ABA%20Employment%20Summary%20for%20Class%20of%202014.pdf,2017-09-08
ALBANY,97,,2013,http://www.albanylaw.edu/careers/employment-statistics/Documents/ABA%20Employment%20Summary%20-%20Class%20of%202013.pdf,2017-09-08
ALBANY,97,,2012,http://www.albanylaw.edu/about/employment/Documents/ABA%20EmploymentSummary%20-%20Class%20of%202012.pdf,2017-09-08
ALBANY,97,,2011,N/A,N/A
ALBANY,97,,2010,N/A,N/A
AMERICAN,27,,2016,https://www.wcl.american.edu/career/documents/EmploymentSummary-2017.pdf,2017-09-09
AMERICAN,27,,2015,https://www.wcl.american.edu/career/documents/statistics2015_000.pdf,2017-09-09
AMERICAN,27,,2014,https://www.wcl.american.edu/career/documents/statistics2014.pdf,2017-09-09
AMERICAN,27,,2013,https://www.wcl.american.edu/career/documents/statistics2013.pdf,2017-09-09
AMERICAN,27,,2012,https://www.wcl.american.edu/career/documents/2012Statistics.pdf,2017-09-09
AMERICAN,27,,2011,N/A,N/A
AMERICAN,27,,2010,N/A,N/A
APPALACHIAN,191,,2016,http://asl.edu/wp-content/uploads/2015/08/EmploymentSummary-2016.pdf,2017-09-09
APPALACHIAN,191,,2015,http://asl.edu/wp-content/uploads/2015/08/EmploymentSummary-2015.pdf,2017-09-09
APPALACHIAN,191,,2014,http://asl.edu/wp-content/uploads/2015/08/EmploymentSummary-2014.pdf,2017-09-09
APPALACHIAN,191,,2013,http://asl.edu/wp-content/uploads/2015/08/EmploymentSummary-2013.pdf,2017-09-09
APPALACHIAN,191,,2012,N/A,N/A
APPALACHIAN,191,,2011,N/A,N/A
APPALACHIAN,191,,2010,N/A,N/A
ARIZONA,4,,2016,https://law.arizona.edu/sites/default/files/aba_employment_summary_for_2016_graduates.pdf,2017-09-09
ARIZONA,4,,2015,https://law.arizona.edu/sites/default/files/employment_summary_2015_grads_09202016.pdf,2017-09-09
ARIZONA,4,,2014,http://law2.arizona.edu/career/documents/ABA%20Employment%20Summary%20Arizona%20Law%20Class%20of%202014.PDF,2017-09-09
ARIZONA,4,,2013,http://www.law2.arizona.edu/Admissions/About_AZLAW/ABA_Employment_2013.pdf,2017-09-09
ARIZONA,4,,2012,http://www.law2.arizona.edu/Admissions/About_AZLAW/EmploymentSummaryClass2012.pdf,2017-09-09
ARIZONA,4,,2011,http://www.law2.arizona.edu/career/Statistics2011.pdf,2017-09-09
