name,uuid
"AKRON, UNIVERSITY OF",114
"ALABAMA, UNIVERSITY OF",2
ALBANY LAW SCHOOL OF UNION UNIVERSITY,97
AMERICAN UNIVERSITY,27
APPALACHIAN SCHOOL OF LAW,191
ARIZONA STATE UNIVERSITY,3
ARIZONA SUMMIT LAW SCHOOL,202
"ARIZONA, UNIVERSITY OF",4
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",5
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",6
ATLANTA'S JOHN MARSHALL LAW SHOOL,197
AVE MARIA SCHOOL OF LAW,193
"BALTIMORE, UNIVERSITY OF",67
BARRY UNIVERSITY,192
BAYLOR UNIVERSITY,149
BELMONT UNIVERSITY,213
BOSTON COLLEGE,73
BOSTON UNIVERSITY,69
BRIGHAM YOUNG UNIVERSITY,150
BROOKLYN LAW SCHOOL,100
CALIFORNIA WESTERN SCHOOL OF LAW,14
"CALIFORNIA-BERKELEY, UNIVERSITY OF",7
"CALIFORNIA-DAVIS, UNIVERSITY OF",8
"CALIFORNIA-HASTINGS, UNIVERSITY OF",16
"CALIFORNIA-IRVINE, UNIVERSITY OF",211
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",9
CAMPBELL UNIVERSITY,169
CAPITAL UNIVERSITY,118
CARDOZO SCHOOL OF LAW,168
CASE WESTERN RESERVE UNIVERSITY,117
CATHOLIC UNIVERSITY OF AMERICA,29
CHAPMAN UNIVERSITY,186
CHARLESTON SCHOOL OF LAW,201
CHARLOTTE SCHOOL OF LAW,206
"CHICAGO, UNIVERSITY OF",50
CHICAGO-KENT COLLEGE OF LAW-IIT,45
"CINCINNATI, UNIVERSITY OF",115
CITY UNIVERSITY OF NEW YORK,176
CLEVELAND STATE UNIVERSITY,116
"COLORADO, UNIVERSITY OF",22
COLUMBIA UNIVERSITY,101
CONCORDIA LAW SCHOOL,212
"CONNECTICUT, UNIVERSITY OF",24
CORNELL UNIVERSITY,99
CREIGHTON UNIVERSITY,91
"DAYTON, UNIVERSITY OF",121
"DENVER, UNIVERSITY OF",23
DEPAUL UNIVERSITY,46
"DETROIT MERCY, UNIVERSITY OF",78
DISTRICT OF COLUMBIA,180
DRAKE UNIVERSITY,55
DREXEL UNIVERSITY,207
DUKE UNIVERSITY,109
DUQUESNE UNIVERSITY,131
ELON UNIVERSITY,205
EMORY UNIVERSITY,39
FAULKNER UNIVERSITY,200
FLORIDA A&M UNIVERSITY,195
FLORIDA COASTAL SCHOOL OF LAW,189
FLORIDA INTERNATIONAL UNIVERSITY,196
FLORIDA STATE UNIVERSITY,36
"FLORIDA, UNIVERSITY OF",34
FORDHAM UNIVERSITY,102
GEORGE MASON UNIVERSITY,171
GEORGE WASHINGTON UNIVERSITY,31
GEORGETOWN UNIVERSITY,30
GEORGIA STATE UNIVERSITY,175
"GEORGIA, UNIVERSITY OF",38
GOLDEN GATE UNIVERSITY,17
GONZAGA UNIVERSITY,159
HAMLINE UNIVERSITY,83
HARVARD UNIVERSITY,74
"HAWAII, UNIVERSITY OF",41
HOFSTRA UNIVERSITY,103
"HOUSTON, UNIVERSITY OF",144
HOWARD UNIVERSITY,32
"IDAHO, UNIVERSITY OF",42
"ILLINOIS, UNIVERSITY OF",44
INDIANA UNIVERSITY - BLOOMINGTON,51
INDIANA UNIVERSITY - INDIANAPOLIS,52
INTER AMERICAN UNIVERSITY OF PUERTO RICO,134
"IOWA, UNIVERSITY OF",56
JOHN MARSHALL LAW SCHOOL,47
"KANSAS, UNIVERSITY OF",57
"KENTUCKY, UNIVERSITY OF",60
LEWIS AND CLARK COLLEGE,126
LIBERTY UNIVERSITY,199
LINCOLN MEMORIAL,215
LOUISIANA STATE UNIVERSITY,62
"LOUISVILLE, UNIVERSITY OF",61
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,10
LOYOLA UNIVERSITY-CHICAGO,48
LOYOLA UNIVERSITY-NEW ORLEANS,64
"MAINE, UNIVERSITY OF",66
MARQUETTE UNIVERSITY,163
"MARYLAND, UNIVERSITY OF",68
MCGEORGE SCHOOL OF LAW,13
"MEMPHIS, UNIVERSITY OF",140
MERCER UNIVERSITY,40
"MIAMI, UNIVERSITY OF",33
MICHIGAN STATE UNIVERSITY,77
"MICHIGAN, UNIVERSITY OF",76
"MINNESOTA, UNIVERSITY OF",81
MISSISSIPPI COLLEGE,172
"MISSISSIPPI, UNIVERSITY OF",84
"MISSOURI, UNIVERSITY OF",85
"MISSOURI-KANSAS CITY, UNIVERSITY OF",86
MITCHELL|HAMLINE,226
"MONTANA, UNIVERSITY OF",89
"NEBRASKA, UNIVERSITY OF",90
NEW ENGLAND LAW | BOSTON,70
NEW HAMPSHIRE UNIVERSITY OF,92
"NEW MEXICO, UNIVERSITY OF",96
